ticker,name,sector,region,currency,shares,cost_basis,realised_pnl
SNX,TD SYNNEX,IT Services & Networking,US,USD,113.0,284.5398,0.0
EWW,Roundhill Memory ETF,Semiconductors,US,USD,290.0,68.9862,0.0
ZM,Zoom Communications,Software,US,USD,159.0,108.6667,0.0
MRVL,Marvell Technology,Semiconductors,US,USD,55.0,279.2909,0.0
MUU,Direxion Daily MU Bull 2X,Semiconductors,US,USD,15.0,962.4,0.0
ADBE,Adobe,Software,US,USD,41.0,270.0,0.0
MU,Micron Technology,Semiconductors,US,USD,10.0,1010.0,0.0
MRVU,Direxion Daily MRVL Bull 2X,Semiconductors,US,USD,41.0,246.3902,0.0
ANET,Arista Networks,IT Services & Networking,US,USD,58.0,176.3793,0.0
TSM,Taiwan Semiconductor (ADR),Semiconductors,Asia,USD,21.0,424.8095,0.0
LNG,Cheniere Energy,Energy,US,USD,38.0,229.4211,0.0
G,Genpact,IT Services & Networking,US,USD,269.0,33.0595,0.0
AMAT,Applied Materials,Semiconductors,US,USD,18.0,445.9444,0.0
LRCX,Lam Research,Semiconductors,US,USD,22.0,310.8636,0.0
AVGO,Broadcom,Semiconductors,US,USD,14.0,450.0,0.0
GOOGL,Alphabet,Communication Services,US,USD,17.0,376.0,0.0
DAL,Delta Air Lines,Industrials,US,USD,75.0,81.08,0.0
META,Meta Platforms,Communication Services,US,USD,10.0,630.6,0.0
VST,Vistra,Utilities,US,USD,33.0,156.6364,0.0
NOW,ServiceNow,Software,US,USD,38.0,135.5263,0.0
PANW,Palo Alto Networks,Software,US,USD,16.0,285.9375,0.0
FNV,Franco-Nevada,Materials,US,USD,19.0,227.3684,0.0
CRM,Salesforce,Software,US,USD,22.0,199.8182,0.0
AMZN,Amazon.com,Communication Services,US,USD,17.0,264.2941,0.0
CDW,CDW Corp,IT Services & Networking,US,USD,28.0,140.4643,0.0
INTU,Intuit,Software,US,USD,11.0,339.0909,0.0
MSFT,Microsoft,Software,US,USD,8.0,464.375,0.0
AZN,AstraZeneca (ADR),Healthcare,Europe,USD,19.0,183.1053,0.0
CPRT,Copart,Industrials,US,USD,96.0,32.7083,0.0
CRDO,Credo Technology,Semiconductors,US,USD,11.0,230.2727,0.0
PEG,Public Service Enterprise Grp,Utilities,US,USD,22.0,78.0,0.0
NASA,Tema Space Innovators ETF,Space (Thematic),US,USD,44.0,38.2273,0.0
