date,ticker,price
2024-07-02,ADBE,567.71
2024-07-02,AMAT,236.868
2024-07-02,AMZN,200.0
2024-07-02,ANET,89.2525
2024-07-02,AVGO,162.6884
2024-07-02,AZN,148.2961
2024-07-02,CDW,212.1958
2024-07-02,CPRT,54.69
2024-07-02,CRDO,31.35
2024-07-02,CRM,252.1621
2024-07-02,DAL,45.6148
2024-07-02,EWW,51.8855
2024-07-02,FNV,117.5635
2024-07-02,G,30.8808
2024-07-02,GOOGL,183.8226
2024-07-02,INTU,646.7277
2024-07-02,LNG,171.1589
2024-07-02,LRCX,105.4609
2024-07-02,META,506.1026
2024-07-02,MRVL,71.1715
2024-07-02,MSFT,452.1737
2024-07-02,MU,131.6664
2024-07-02,NOW,158.822
2024-07-02,PANW,170.22
2024-07-02,PEG,69.1021
2024-07-02,SNX,109.5391
2024-07-02,TSM,171.2948
2024-07-02,VST,86.6349
2024-07-02,ZM,58.34
2024-07-02,^GSPC,5509.0098
2024-07-03,ADBE,570.15
2024-07-03,AMAT,239.2774
2024-07-03,AMZN,197.59
2024-07-03,ANET,91.355
2024-07-03,AVGO,169.7299
2024-07-03,AZN,147.9301
2024-07-03,CDW,211.2177
2024-07-03,CPRT,53.89
2024-07-03,CRDO,31.58
2024-07-03,CRM,256.8473
2024-07-03,DAL,46.2789
2024-07-03,EWW,53.1559
2024-07-03,FNV,120.9044
2024-07-03,G,30.9099
2024-07-03,GOOGL,184.3982
2024-07-03,INTU,650.3546
2024-07-03,LNG,170.7861
2024-07-03,LRCX,106.436
2024-07-03,META,506.5595
2024-07-03,MRVL,71.7679
2024-07-03,MSFT,453.6407
2024-07-03,MU,135.867
2024-07-03,NOW,157.184
2024-07-03,PANW,170.6
2024-07-03,PEG,69.4872
2024-07-03,SNX,110.5917
2024-07-03,TSM,177.9146
2024-07-03,VST,90.606
2024-07-03,ZM,58.63
2024-07-03,^GSPC,5537.02
2024-07-05,ADBE,578.34
2024-07-05,AMAT,238.5693
2024-07-05,AMZN,200.0
2024-07-05,ANET,91.535
2024-07-05,AVGO,167.1868
2024-07-05,AZN,148.9703
2024-07-05,CDW,209.4649
2024-07-05,CPRT,54.22
2024-07-05,CRDO,31.63
2024-07-05,CRM,259.0521
2024-07-05,DAL,44.941
2024-07-05,EWW,52.7324
2024-07-05,FNV,121.9589
2024-07-05,G,30.1524
2024-07-05,GOOGL,189.1416
2024-07-05,INTU,659.0765
2024-07-05,LNG,170.894
2024-07-05,LRCX,106.9334
2024-07-05,META,536.3099
2024-07-05,MRVL,71.6487
2024-07-05,MSFT,460.3256
2024-07-05,MU,130.6833
2024-07-05,NOW,161.294
2024-07-05,PANW,171.045
2024-07-05,PEG,69.5623
2024-07-05,SNX,106.8981
2024-07-05,TSM,179.377
2024-07-05,VST,88.2747
2024-07-05,ZM,58.26
2024-07-05,^GSPC,5567.1899
2024-07-08,ADBE,575.4
2024-07-08,AMAT,242.208
2024-07-08,AMZN,199.29
2024-07-08,ANET,92.7675
2024-07-08,AVGO,171.3632
2024-07-08,AZN,148.5658
2024-07-08,CDW,210.0169
2024-07-08,CPRT,54.79
2024-07-08,CRDO,31.8
2024-07-08,CRM,253.3235
2024-07-08,DAL,45.2632
2024-07-08,EWW,53.7083
2024-07-08,FNV,120.9241
2024-07-08,G,30.4146
2024-07-08,GOOGL,187.5836
2024-07-08,INTU,650.0392
2024-07-08,LNG,172.091
2024-07-08,LRCX,108.291
2024-07-08,META,525.7905
2024-07-08,MRVL,74.4617
2024-07-08,MSFT,459.026
2024-07-08,MU,129.8932
2024-07-08,NOW,153.24
2024-07-08,PANW,168.82
2024-07-08,PEG,70.0506
2024-07-08,SNX,109.1493
2024-07-08,TSM,181.9508
2024-07-08,VST,91.7519
2024-07-08,ZM,57.4
2024-07-08,^GSPC,5572.8501
2024-07-09,ADBE,566.02
2024-07-09,AMAT,247.3022
2024-07-09,AMZN,199.34
2024-07-09,ANET,91.4375
2024-07-09,AVGO,170.1314
2024-07-09,AZN,147.6797
2024-07-09,CDW,208.0123
2024-07-09,CPRT,54.44
2024-07-09,CRDO,31.44
2024-07-09,CRM,248.848
2024-07-09,DAL,45.7906
2024-07-09,EWW,54.2974
2024-07-09,FNV,120.8453
2024-07-09,G,30.0651
2024-07-09,GOOGL,187.534
2024-07-09,INTU,641.0117
2024-07-09,LNG,172.6601
2024-07-09,LRCX,109.3664
2024-07-09,META,526.4659
2024-07-09,MRVL,73.3981
2024-07-09,MSFT,452.4297
2024-07-09,MU,130.3404
2024-07-09,NOW,148.802
2024-07-09,PANW,168.09
2024-07-09,PEG,70.9804
2024-07-09,SNX,107.9701
2024-07-09,TSM,179.8937
2024-07-09,VST,90.2899
2024-07-09,ZM,56.88
2024-07-09,^GSPC,5576.98
2024-07-10,ADBE,564.55
2024-07-10,AMAT,250.7442
2024-07-10,AMZN,199.79
2024-07-10,ANET,90.9375
2024-07-10,AVGO,171.2484
2024-07-10,AZN,149.76
2024-07-10,CDW,211.9537
2024-07-10,CPRT,54.13
2024-07-10,CRDO,31.21
2024-07-10,CRM,249.0057
2024-07-10,DAL,45.7613
2024-07-10,EWW,55.5034
2024-07-10,FNV,123.8807
2024-07-10,G,30.1427
2024-07-10,GOOGL,189.7171
2024-07-10,INTU,624.5502
2024-07-10,LNG,171.6201
2024-07-10,LRCX,110.8164
2024-07-10,META,531.1247
2024-07-10,MRVL,74.4319
2024-07-10,MSFT,459.0359
2024-07-10,MU,135.5584
2024-07-10,NOW,148.63
2024-07-10,PANW,168.53
2024-07-10,PEG,71.6472
2024-07-10,SNX,107.5413
2024-07-10,TSM,186.2599
2024-07-10,VST,91.1889
2024-07-10,ZM,56.0
2024-07-10,^GSPC,5633.9102
2024-07-11,ADBE,557.63
2024-07-11,AMAT,237.2614
2024-07-11,AMZN,195.05
2024-07-11,ANET,89.8975
2024-07-11,AVGO,167.4459
2024-07-11,AZN,150.126
2024-07-11,CDW,216.7473
2024-07-11,CPRT,54.84
2024-07-11,CRDO,30.66
2024-07-11,CRM,247.5566
2024-07-11,DAL,43.9351
2024-07-11,EWW,55.7152
2024-07-11,FNV,125.6054
2024-07-11,G,30.9487
2024-07-11,GOOGL,184.1501
2024-07-11,INTU,621.165
2024-07-11,LNG,173.082
2024-07-11,LRCX,104.1947
2024-07-11,META,509.2813
2024-07-11,MRVL,71.7481
2024-07-11,MSFT,447.6646
2024-07-11,MU,129.436
2024-07-11,NOW,149.828
2024-07-11,PANW,165.52
2024-07-11,PEG,71.8726
2024-07-11,SNX,110.1531
2024-07-11,TSM,179.8742
2024-07-11,VST,90.4974
2024-07-11,ZM,56.6
2024-07-11,^GSPC,5584.54
2024-07-12,ADBE,559.05
2024-07-12,AMAT,239.3659
2024-07-12,AMZN,194.49
2024-07-12,ANET,90.475
2024-07-12,AVGO,166.9276
2024-07-12,AZN,152.63
2024-07-12,CDW,221.2794
2024-07-12,CPRT,55.54
2024-07-12,CRDO,30.87
2024-07-12,CRM,250.3661
2024-07-12,DAL,42.5972
2024-07-12,EWW,56.8475
2024-07-12,FNV,127.2413
2024-07-12,G,31.512
2024-07-12,GOOGL,183.6539
2024-07-12,INTU,633.5408
2024-07-12,LNG,174.2103
2024-07-12,LRCX,105.166
2024-07-12,META,495.5435
2024-07-12,MRVL,73.2105
2024-07-12,MSFT,446.5324
2024-07-12,MU,132.7357
2024-07-12,NOW,151.698
2024-07-12,PANW,168.25
2024-07-12,PEG,71.6378
2024-07-12,SNX,110.026
2024-07-12,TSM,182.6527
2024-07-12,VST,90.2208
2024-07-12,ZM,57.58
2024-07-12,^GSPC,5615.3501
2024-07-15,ADBE,565.71
2024-07-15,AMAT,241.4803
2024-07-15,AMZN,192.72
2024-07-15,ANET,90.105
2024-07-15,AVGO,168.2557
2024-07-15,AZN,150.4727
2024-07-15,CDW,225.4145
2024-07-15,CPRT,54.72
2024-07-15,CRDO,33.09
2024-07-15,CRM,249.2719
2024-07-15,DAL,41.9918
2024-07-15,EWW,55.706
2024-07-15,FNV,125.4674
2024-07-15,G,32.0267
2024-07-15,GOOGL,185.1027
2024-07-15,INTU,649.5582
2024-07-15,LNG,174.3084
2024-07-15,LRCX,105.0962
2024-07-15,META,492.8516
2024-07-15,MRVL,73.2204
2024-07-15,MSFT,446.9361
2024-07-15,MU,130.0721
2024-07-15,NOW,153.57
2024-07-15,PANW,170.455
2024-07-15,PEG,70.0037
2024-07-15,SNX,112.559
2024-07-15,TSM,180.5761
2024-07-15,VST,85.1432
2024-07-15,ZM,58.325
2024-07-15,^GSPC,5631.2202
2024-07-16,ADBE,566.54
2024-07-16,AMAT,241.7655
2024-07-16,AMZN,193.02
2024-07-16,ANET,89.5575
2024-07-16,AVGO,166.2533
2024-07-16,AZN,151.378
2024-07-16,CDW,232.261
2024-07-16,CPRT,54.0
2024-07-16,CRDO,33.83
2024-07-16,CRM,252.3969
2024-07-16,DAL,44.941
2024-07-16,EWW,56.1295
2024-07-16,FNV,129.2222
2024-07-16,G,32.755
2024-07-16,GOOGL,182.5127
2024-07-16,INTU,657.4239
2024-07-16,LNG,175.3091
2024-07-16,LRCX,105.7725
2024-07-16,META,486.524
2024-07-16,MRVL,75.2101
2024-07-16,MSFT,442.5647
2024-07-16,MU,126.7127
2024-07-16,NOW,152.158
2024-07-16,PANW,169.25
2024-07-16,PEG,70.0037
2024-07-16,SNX,115.8842
2024-07-16,TSM,181.3756
2024-07-16,VST,84.8271
2024-07-16,ZM,59.16
2024-07-16,^GSPC,5667.2002
2024-07-17,ADBE,563.09
2024-07-17,AMAT,216.4226
2024-07-17,AMZN,187.93
2024-07-17,ANET,84.17
2024-07-17,AVGO,153.1007
2024-07-17,AZN,153.6316
2024-07-17,CDW,229.4914
2024-07-17,CPRT,52.99
2024-07-17,CRDO,30.45
2024-07-17,CRM,247.6552
2024-07-17,DAL,44.6871
2024-07-17,EWW,55.2089
2024-07-17,FNV,125.6547
2024-07-17,G,33.0269
2024-07-17,GOOGL,179.6349
2024-07-17,INTU,650.2787
2024-07-17,LNG,178.1446
2024-07-17,LRCX,95.1253
2024-07-17,META,458.9094
2024-07-17,MRVL,67.5797
2024-07-17,MSFT,436.6576
2024-07-17,MU,118.7714
2024-07-17,NOW,147.214
2024-07-17,PANW,166.07
2024-07-17,PEG,70.5766
2024-07-17,SNX,115.1214
2024-07-17,TSM,166.9076
2024-07-17,VST,75.2745
2024-07-17,ZM,59.1
2024-07-17,^GSPC,5588.27
2024-07-18,ADBE,556.85
2024-07-18,AMAT,214.0427
2024-07-18,AMZN,183.75
2024-07-18,ANET,83.1575
2024-07-18,AVGO,157.5569
2024-07-18,AZN,150.3571
2024-07-18,CDW,226.315
2024-07-18,CPRT,51.65
2024-07-18,CRDO,29.57
2024-07-18,CRM,243.8401
2024-07-18,DAL,43.8668
2024-07-18,EWW,53.7083
2024-07-18,FNV,124.3045
2024-07-18,G,32.7064
2024-07-18,GOOGL,176.3304
2024-07-18,INTU,629.1195
2024-07-18,LNG,178.596
2024-07-18,LRCX,93.6429
2024-07-18,META,472.677
2024-07-18,MRVL,67.8582
2024-07-18,MSFT,433.5564
2024-07-18,MU,116.7339
2024-07-18,NOW,147.754
2024-07-18,PANW,161.94
2024-07-18,PEG,69.4308
2024-07-18,SNX,114.7302
2024-07-18,TSM,167.5608
2024-07-18,VST,75.6203
2024-07-18,ZM,59.15
2024-07-18,^GSPC,5544.5898
2024-07-19,ADBE,551.0
2024-07-19,AMAT,206.7752
2024-07-19,AMZN,183.13
2024-07-19,ANET,82.64
2024-07-19,AVGO,154.4454
2024-07-19,AZN,151.6091
2024-07-19,CDW,221.6086
2024-07-19,CPRT,51.71
2024-07-19,CRDO,29.5
2024-07-19,CRM,244.1161
2024-07-19,DAL,44.3746
2024-07-19,EWW,53.9384
2024-07-19,FNV,122.7671
2024-07-19,G,32.3083
2024-07-19,GOOGL,176.3006
2024-07-19,INTU,628.2215
2024-07-19,LNG,178.4978
2024-07-19,LRCX,90.1542
2024-07-19,META,473.6107
2024-07-19,MRVL,66.167
2024-07-19,MSFT,430.3468
2024-07-19,MU,113.5634
2024-07-19,NOW,150.24
2024-07-19,PANW,165.445
2024-07-19,PEG,70.0976
2024-07-19,SNX,112.8133
2024-07-19,TSM,161.6138
2024-07-19,VST,75.5413
2024-07-19,ZM,58.87
2024-07-19,^GSPC,5505.0
2024-07-22,ADBE,554.82
2024-07-22,AMAT,219.7663
2024-07-22,AMZN,182.55
2024-07-22,ANET,85.56
2024-07-22,AVGO,158.0869
2024-07-22,AZN,152.4759
2024-07-22,CDW,225.1723
2024-07-22,CPRT,52.53
2024-07-22,CRDO,29.52
2024-07-22,CRM,250.4746
2024-07-22,DAL,42.8023
2024-07-22,EWW,54.9143
2024-07-22,FNV,122.4221
2024-07-22,G,32.5413
2024-07-22,GOOGL,180.2799
2024-07-22,INTU,636.0772
2024-07-22,LNG,177.4873
2024-07-22,LRCX,96.0474
2024-07-22,META,484.15
2024-07-22,MRVL,68.6541
2024-07-22,MSFT,436.0866
2024-07-22,MU,114.5771
2024-07-22,NOW,151.3
2024-07-22,PANW,166.85
2024-07-22,PEG,71.2058
2024-07-22,SNX,115.1898
2024-07-22,TSM,165.104
2024-07-22,VST,78.2085
2024-07-22,ZM,58.64
2024-07-22,^GSPC,5564.4102
2024-07-23,ADBE,546.01
2024-07-23,AMAT,216.0096
2024-07-23,AMZN,186.41
2024-07-23,ANET,86.6625
2024-07-23,AVGO,160.7469
2024-07-23,AZN,152.4951
2024-07-23,CDW,222.8772
2024-07-23,CPRT,52.32
2024-07-23,CRDO,30.57
2024-07-23,CRM,252.4265
2024-07-23,DAL,42.5875
2024-07-23,EWW,53.8187
2024-07-23,FNV,123.0036
2024-07-23,G,32.5511
2024-07-23,GOOGL,180.399
2024-07-23,INTU,628.7544
2024-07-23,LNG,173.5431
2024-07-23,LRCX,94.3399
2024-07-23,META,485.4313
2024-07-23,MRVL,68.0373
2024-07-23,MSFT,437.9671
2024-07-23,MU,113.5534
2024-07-23,NOW,153.104
2024-07-23,PANW,167.78
2024-07-23,PEG,70.9898
2024-07-23,SNX,115.1116
2024-07-23,TSM,165.5623
2024-07-23,VST,79.0975
2024-07-23,ZM,59.42
2024-07-23,^GSPC,5555.7402
2024-07-24,ADBE,531.04
2024-07-24,AMAT,203.107
2024-07-24,AMZN,180.83
2024-07-24,ANET,81.4675
2024-07-24,AVGO,148.5463
2024-07-24,AZN,153.5353
2024-07-24,CDW,221.9669
2024-07-24,CPRT,51.16
2024-07-24,CRDO,29.35
2024-07-24,CRM,246.2356
2024-07-24,DAL,41.9332
2024-07-24,EWW,52.6496
2024-07-24,FNV,123.8511
2024-07-24,G,32.5511
2024-07-24,GOOGL,171.3091
2024-07-24,INTU,612.1152
2024-07-24,LNG,171.6102
2024-07-24,LRCX,89.4425
2024-07-24,META,458.1942
2024-07-24,MRVL,64.0181
2024-07-24,MSFT,422.2638
2024-07-24,MU,109.6076
2024-07-24,NOW,146.174
2024-07-24,PANW,162.12
2024-07-24,PEG,71.3279
2024-07-24,SNX,113.7326
2024-07-24,TSM,155.7935
2024-07-24,VST,71.6985
2024-07-24,ZM,58.16
2024-07-24,^GSPC,5427.1299
2024-07-25,ADBE,532.15
2024-07-25,AMAT,198.9668
2024-07-25,AMZN,179.85
2024-07-25,ANET,78.53
2024-07-25,AVGO,146.5047
2024-07-25,AZN,151.2431
2024-07-25,CDW,221.3956
2024-07-25,CPRT,50.43
2024-07-25,CRDO,28.51
2024-07-25,CRM,252.88
2024-07-25,DAL,42.4508
2024-07-25,EWW,52.0143
2024-07-25,FNV,122.4123
2024-07-25,G,33.124
2024-07-25,GOOGL,166.0
2024-07-25,INTU,618.1156
2024-07-25,LNG,173.0231
2024-07-25,LRCX,86.9112
2024-07-25,META,450.3866
2024-07-25,MRVL,63.66
2024-07-25,MSFT,411.9263
2024-07-25,MU,106.7949
2024-07-25,NOW,165.758
2024-07-25,PANW,160.065
2024-07-25,PEG,69.7219
2024-07-25,SNX,113.5664
2024-07-25,TSM,156.2614
2024-07-25,VST,69.5252
2024-07-25,ZM,59.61
2024-07-25,^GSPC,5399.2202
2024-07-26,ADBE,542.44
2024-07-26,AMAT,203.048
2024-07-26,AMZN,182.5
2024-07-26,ANET,79.8025
2024-07-26,AVGO,148.8309
2024-07-26,AZN,150.4919
2024-07-26,CDW,222.4802
2024-07-26,CPRT,51.05
2024-07-26,CRDO,28.58
2024-07-26,CRM,258.9821
2024-07-26,DAL,43.0953
2024-07-26,EWW,52.1248
2024-07-26,FNV,122.836
2024-07-26,G,33.3668
2024-07-26,GOOGL,165.7222
2024-07-26,INTU,625.0634
2024-07-26,LNG,173.3861
2024-07-26,LRCX,87.9453
2024-07-26,META,462.5947
2024-07-26,MRVL,65.3811
2024-07-26,MSFT,418.6899
2024-07-26,MU,108.7429
2024-07-26,NOW,165.522
2024-07-26,PANW,163.405
2024-07-26,PEG,71.3842
2024-07-26,SNX,115.6495
2024-07-26,TSM,157.8798
2024-07-26,VST,70.2562
2024-07-26,ZM,60.09
2024-07-26,^GSPC,5459.1001
2024-07-29,ADBE,536.61
2024-07-29,AMAT,202.1629
2024-07-29,AMZN,183.2
2024-07-29,ANET,80.1375
2024-07-29,AVGO,147.447
2024-07-29,AZN,150.935
2024-07-29,CDW,224.0781
2024-07-29,CPRT,51.05
2024-07-29,CRDO,27.38
2024-07-29,CRM,254.9206
2024-07-29,DAL,42.1676
2024-07-29,EWW,51.4159
2024-07-29,FNV,124.068
2024-07-29,G,33.6872
2024-07-29,GOOGL,168.2328
2024-07-29,INTU,628.0241
2024-07-29,LNG,174.328
2024-07-29,LRCX,87.7192
2024-07-29,META,462.6046
2024-07-29,MRVL,64.1475
2024-07-29,MSFT,420.1274
2024-07-29,MU,107.1924
2024-07-29,NOW,159.812
2024-07-29,PANW,161.03
2024-07-29,PEG,72.2576
2024-07-29,SNX,115.5908
2024-07-29,TSM,155.9982
2024-07-29,VST,70.3748
2024-07-29,ZM,60.32
2024-07-29,^GSPC,5463.54
2024-07-30,ADBE,538.71
2024-07-30,AMAT,193.4793
2024-07-30,AMZN,181.71
2024-07-30,ANET,77.855
2024-07-30,AVGO,140.8707
2024-07-30,AZN,150.0489
2024-07-30,CDW,225.1239
2024-07-30,CPRT,51.72
2024-07-30,CRDO,25.96
2024-07-30,CRM,254.2699
2024-07-30,DAL,42.3636
2024-07-30,EWW,50.8912
2024-07-30,FNV,125.2802
2024-07-30,G,33.9106
2024-07-30,GOOGL,168.987
2024-07-30,INTU,627.4714
2024-07-30,LNG,178.4488
2024-07-30,LRCX,84.0349
2024-07-30,META,460.1014
2024-07-30,MRVL,62.4761
2024-07-30,MSFT,416.3764
2024-07-30,MU,101.9347
2024-07-30,NOW,159.76
2024-07-30,PANW,158.755
2024-07-30,PEG,73.2531
2024-07-30,SNX,115.5713
2024-07-30,TSM,150.6653
2024-07-30,VST,68.162
2024-07-30,ZM,61.05
2024-07-30,^GSPC,5436.4399
2024-07-31,ADBE,551.65
2024-07-31,AMAT,208.683
2024-07-31,AMZN,186.98
2024-07-31,ANET,86.6375
2024-07-31,AVGO,157.7139
2024-07-31,AZN,152.4566
2024-07-31,CDW,211.2177
2024-07-31,CPRT,52.33
2024-07-31,CRDO,27.75
2024-07-31,CRM,255.1276
2024-07-31,DAL,42.1578
2024-07-31,EWW,52.0327
2024-07-31,FNV,127.0935
2024-07-31,G,33.6678
2024-07-31,GOOGL,170.2274
2024-07-31,INTU,638.8701
2024-07-31,LNG,179.1945
2024-07-31,LRCX,90.5602
2024-07-31,META,471.6638
2024-07-31,MRVL,66.6346
2024-07-31,MSFT,411.877
2024-07-31,MU,109.1504
2024-07-31,NOW,162.878
2024-07-31,PANW,162.365
2024-07-31,PEG,74.9154
2024-07-31,SNX,116.5493
2024-07-31,TSM,161.643
2024-07-31,VST,78.2579
2024-07-31,ZM,60.4
2024-07-31,^GSPC,5522.2998
2024-08-01,ADBE,546.41
2024-08-01,AMAT,193.0465
2024-08-01,AMZN,184.07
2024-08-01,ANET,84.66
2024-08-01,AVGO,144.3061
2024-08-01,AZN,156.4053
2024-08-01,CDW,206.8405
2024-08-01,CPRT,52.23
2024-08-01,CRDO,26.56
2024-08-01,CRM,249.4691
2024-08-01,DAL,40.6682
2024-08-01,EWW,50.7899
2024-08-01,FNV,125.2309
2024-08-01,G,33.192
2024-08-01,GOOGL,169.4534
2024-08-01,INTU,629.4649
2024-08-01,LNG,176.3688
2024-08-01,LRCX,81.6235
2024-08-01,META,494.421
2024-08-01,MRVL,62.7348
2024-08-01,MSFT,410.6562
2024-08-01,MU,100.8911
2024-08-01,NOW,162.276
2024-08-01,PANW,157.81
2024-08-01,PEG,74.8966
2024-08-01,SNX,114.5835
2024-08-01,TSM,154.2141
2024-08-01,VST,75.1165
2024-08-01,ZM,58.97
2024-08-01,^GSPC,5446.6802
2024-08-02,ADBE,526.17
2024-08-02,AMAT,178.7967
2024-08-02,AMZN,167.9
2024-08-02,ANET,79.835
2024-08-02,AVGO,141.1651
2024-08-02,AZN,157.5803
2024-08-02,CDW,203.2187
2024-08-02,CPRT,51.73
2024-08-02,CRDO,25.33
2024-08-02,CRM,240.508
2024-08-02,DAL,39.0317
2024-08-02,EWW,49.6852
2024-08-02,FNV,123.2894
2024-08-02,G,32.8715
2024-08-02,GOOGL,165.3848
2024-08-02,INTU,615.7471
2024-08-02,LNG,173.2193
2024-08-02,LRCX,75.0048
2024-08-02,META,484.8851
2024-08-02,MRVL,58.9444
