GEF MCB  ·  PORTFOLIO MONITOR  ·  DYNAMIC,,,,,,,,,,,,,,,,
Update ONLY the yellow Mkt Value cells each day — everything else recalculates. Snapshot 6/2/2026 · values in USD,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Total Portfolio,,,,,,Return(%),Invested (Equity),,Invested %,Positions,Gain $ (vs basis),Gain %,,,,
"$248,236",,,,,,(4.25%),"$259,244",,100.0%,32,"($11,008)",(4.25%),,-4.25%,,
,,,,,,,,,,,,,,,,
"● Yellow = Automatically derived from GoogleFinance (Mkt Value).   ● Blue = Cost Basis, a one-time reference (change only when you add/resize a position).   Gain $ = Mkt Value − Cost Basis.  No circular references.",,,,,,,,,,,,,,,,
Ticker,Holding,Sector / Theme,Purchase Price,Current Price,Units,Cost Basis,Mkt Value,% Weight,%Equity,Gain $,Gain %,,,,,
SNX,TD SYNNEX,IT Distribution,$285,$266.270,113,"$32,153","$30,089",3.5%,12.1%,"($2,064)",(6.42%),,,,,IT Svcs/Distrib/Net
EWW,Roundhill Memory ETF,Thematic – AI Memory (ETF),$69,$75.370,290,"$20,006","$21,857",0.0%,8.8%,"$1,851",9.25%,,,,,Semis & Equip
ZM,Zoom Communications,Software – Comms,$109,$86.480,159,"$17,278","$13,750",2.0%,5.5%,"($3,528)",(20.42%),,,,,Software
MRVL,Marvell Technology,Semiconductors,$279,$266.770,55,"$15,361","$14,672",1.8%,5.9%,($689),(4.48%),,,,,Semis & Equip
MUU,Direxion Daily MU Bull 2X,Semis – 2x MU (Lev ETF),$962,"$1,020.020",15,"$14,436","$15,300",1.7%,6.2%,$864,5.99%,,,,,Semis & Equip
ADBE,Adobe,Software,$270,$202.730,41,"$11,070","$8,312",1.2%,3.3%,"($2,758)",(24.91%),,,,,Software
MU,Micron Technology,Semis – Memory,"$1,010","$1,132.330",10,"$10,100","$11,323",1.2%,4.6%,"$1,223",12.11%,,,,,Semis & Equip
MRVU,Direxion Daily MRVL Bull 2X,Semis – 2x MRVL (Lev ETF),$246,$185.700,41,"$10,102","$7,614",1.1%,3.1%,"($2,488)",(24.63%),,,,,Semis & Equip
ANET,Arista Networks,Networking,$176,$157.600,58,"$10,230","$9,141",1.1%,3.7%,"($1,089)",(10.64%),,,,,IT Svcs/Distrib/Net
TSM,Taiwan Semiconductor (ADR),Semis – Foundry,$425,$432.350,21,"$8,921","$9,079",1.0%,3.7%,$158,1.77%,,,,,Semis & Equip
LNG,Cheniere Energy,Energy – LNG,$229,$241.640,38,"$8,718","$9,182",1.0%,3.7%,$464,5.33%,,,,,Energy
G,Genpact,IT Services,$33,$28.530,269,"$8,893","$7,675",1.0%,3.1%,"($1,219)",(13.70%),,,,,IT Svcs/Distrib/Net
AMAT,Applied Materials,Semi Equipment,$446,$626.840,18,"$8,027","$11,283",1.0%,4.5%,"$3,256",40.56%,,,,,Semis & Equip
LRCX,Lam Research,Semi Equipment,$311,$379.090,22,"$6,839","$8,340",0.8%,3.4%,"$1,501",21.95%,,,,,Semis & Equip
AVGO,Broadcom,Semiconductors,$450,$365.020,14,"$6,300","$5,110",0.7%,2.1%,"($1,190)",(18.88%),,,,,Semis & Equip
GOOGL,Alphabet,Comm Services,$376,$337.390,17,"$6,392","$5,736",0.7%,2.3%,($656),(10.26%),,,,,Comm Svcs/Internet
DAL,Delta Air Lines,Industrials – Airlines,$81,$92.570,75,"$6,081","$6,943",0.7%,2.8%,$862,14.17%,,,,,Industrials
META,Meta Platforms,Comm Services,$631,$550.250,10,"$6,306","$5,503",0.7%,2.2%,($804),(12.74%),,,,,Comm Svcs/Internet
VST,Vistra,Utilities – Power,$157,$163.490,33,"$5,169","$5,395",0.6%,2.2%,$226,4.37%,,,,,Utilities/Power
NOW,ServiceNow,Software,$136,$98.340,38,"$5,150","$3,737",0.5%,1.5%,"($1,413)",(27.44%),,,,,Software
